time,power_mW,current_mA,voltage,led1,led2
2026-02-03T08:34:21.396130+00:00,2078.83,564.9,3.68,True,True
2026-02-03T08:34:31.376901+00:00,2139.24,582.9,3.67,True,True
2026-02-03T08:34:31.388116+00:00,2139.24,582.9,3.67,True,True
2026-02-03T08:34:41.384870+00:00,2147.24,589.9,3.64,True,True
2026-02-03T08:34:41.396172+00:00,2147.24,589.9,3.64,True,True
2026-02-03T08:34:51.380966+00:00,2351.15,638.9,3.68,True,True
2026-02-03T08:34:51.393078+00:00,2351.15,638.9,3.68,True,True
2026-02-03T08:35:01.381293+00:00,2374.36,655.9,3.62,True,True
2026-02-03T08:35:01.392826+00:00,2374.36,655.9,3.62,True,True
2026-02-03T08:35:11.377205+00:00,2565.29,700.9,3.66,True,True
2026-02-03T08:35:11.389748+00:00,2565.29,700.9,3.66,True,True
2026-02-03T08:35:21.377448+00:00,2058.65,557.9,3.69,True,True
2026-02-03T08:35:21.388357+00:00,2058.65,557.9,3.69,True,True
2026-02-03T08:35:31.378290+00:00,2387.48,655.9,3.64,True,True
2026-02-03T08:35:31.389967+00:00,2387.48,655.9,3.64,True,True
2026-02-03T08:35:41.378711+00:00,2019.84,554.9,3.64,True,True
2026-02-03T08:35:41.390237+00:00,2019.84,554.9,3.64,True,True
2026-02-03T08:35:51.379512+00:00,2008.44,557.9,3.6,True,True
2026-02-03T08:35:51.390819+00:00,2008.44,557.9,3.6,True,True
2026-02-03T08:36:01.378981+00:00,2439.0,671.9,3.63,True,True
2026-02-03T08:36:01.389455+00:00,2439.0,671.9,3.63,True,True
2026-02-03T08:36:11.379056+00:00,2255.89,624.9,3.61,True,True
2026-02-03T08:36:11.391406+00:00,2255.89,624.9,3.61,True,True
2026-02-03T08:36:21.379357+00:00,2059.42,568.9,3.62,True,True
2026-02-03T08:36:21.390340+00:00,2059.42,568.9,3.62,True,True
2026-02-03T08:36:31.379418+00:00,2436.51,663.9,3.67,True,True
2026-02-03T08:36:31.389220+00:00,2436.51,663.9,3.67,True,True
2026-02-03T08:36:41.387399+00:00,1977.47,535.9,3.69,True,True
2026-02-03T08:36:41.397342+00:00,1977.47,535.9,3.69,True,True
2026-02-03T08:36:51.383931+00:00,2107.2,578.9,3.64,True,True
2026-02-03T08:36:51.394725+00:00,2107.2,578.9,3.64,True,True
2026-02-03T08:37:01.380463+00:00,2518.86,693.9,3.63,True,True
2026-02-03T08:37:01.390561+00:00,2518.86,693.9,3.63,True,True
2026-02-03T08:37:11.388167+00:00,2022.84,561.9,3.6,True,True
